iter	Logloss
0	0.6799238451
1	0.6675523689
2	0.6547456994
3	0.6421722587
4	0.6299714493
5	0.6178944774
6	0.6076794013
7	0.5976879347
8	0.5900780757
9	0.5790066305
10	0.5690666153
11	0.5592608575
12	0.5501718227
13	0.541560184
14	0.5330126895
15	0.5233204691
16	0.5146110945
17	0.5065661742
18	0.4980031126
19	0.4895579211
20	0.481114337
21	0.4740096237
22	0.4659900795
23	0.4581954104
24	0.4512854377
25	0.4439016439
26	0.4372984997
27	0.4308762584
28	0.4247797747
29	0.4186363937
30	0.4129869577
31	0.4072148517
32	0.4009595192
33	0.3947265984
34	0.3890464695
35	0.3843765138
36	0.3792823589
37	0.3741450195
38	0.3691262998
39	0.3652404606
40	0.3613357743
41	0.3565382999
42	0.351972503
43	0.3476995321
44	0.34441594
45	0.3398660442
46	0.3360116885
47	0.3317927732
48	0.3277133695
49	0.3237798744
50	0.3200950721
51	0.3168603524
52	0.3134644289
53	0.3097899318
54	0.3065007601
55	0.3032167223
56	0.3004931204
57	0.2975365814
58	0.2942597548
59	0.2911501938
60	0.2880804687
61	0.2852819799
62	0.2826472177
63	0.2798232675
64	0.2772067276
65	0.2746612931
66	0.2730977796
67	0.2710719249
68	0.2688259054
69	0.2664605296
70	0.2641562261
71	0.2619870121
72	0.2600605414
73	0.2579687304
74	0.2564713717
75	0.2542421481
76	0.2525819606
77	0.2507390264
78	0.2489325451
79	0.2470463852
80	0.2455343009
81	0.2434726981
82	0.2418083263
83	0.2401894414
84	0.2386029808
85	0.2368506592
86	0.2351644777
87	0.2336080546
88	0.2322289152
89	0.2308270462
90	0.2294698871
91	0.228140147
92	0.2267268197
93	0.2252870501
94	0.2244607736
95	0.2235069706
96	0.2229333364
97	0.2218605316
98	0.2206617365
99	0.219840377
