iter	Passed	Remaining
0	4	478
1	9	486
2	14	462
3	18	448
4	23	442
5	27	432
6	31	423
7	36	415
8	40	413
9	45	408
10	50	404
11	54	398
12	58	392
13	63	387
14	67	382
15	71	377
16	76	372
17	80	367
18	85	362
19	89	357
20	93	352
21	98	347
22	102	343
23	106	338
24	111	333
25	115	329
26	120	326
27	125	322
28	129	318
29	134	314
30	139	309
31	143	305
32	147	300
33	152	295
34	156	291
35	161	286
36	165	281
37	169	276
38	174	272
39	178	267
40	182	263
41	187	258
42	191	253
43	196	249
44	200	245
45	205	241
46	210	237
47	215	233
48	220	229
49	224	224
50	230	221
51	235	217
52	239	212
53	244	208
54	248	203
55	253	199
56	257	194
57	261	189
58	266	184
59	270	180
60	274	175
61	279	171
62	283	166
63	287	161
64	292	157
65	296	152
66	301	148
67	305	143
68	310	139
69	314	134
70	318	130
71	322	125
72	327	121
73	331	116
74	335	111
75	340	107
76	344	102
77	349	98
78	353	93
79	357	89
80	362	84
81	366	80
82	371	76
83	376	71
84	380	67
85	384	62
86	389	58
87	393	53
88	398	49
89	404	44
90	409	40
91	414	36
92	418	31
93	423	27
94	428	22
95	432	18
96	437	13
97	442	9
98	447	4
99	452	0
